,Release Date,Title,Director,Cast,Genre,Studio
18,17-Mar,Trapped,Vikramaditya Motwane,"Rajkummar Rao, Geetanjali Thapa , Khushboo Upadhyay",Thriller,Phantom Films
19,17-Mar,Machine,Abbas Mustan,"Mustafa Burmawalla , Kiara Advani","Romance,thriller",Pen India Limited and Abbas Mustan Productions
20,24-Mar,Phillauri,Anshai Lal,"Anushka Sharma, Diljit Dosanjh, Suraj Sharma , Mehreen Pirzada","Romance,comedy",Fox Star Studios and Clean Slate Films
21,24-Mar,Bhanwarey,Shaurya Singh,"Shaurya Singh, Karan Thakur, Jashan Singh , Priyanka Shukla",Comedy,Sudha creations
22,24-Mar,Anaarkali of Aarah,Avinash Das,Swara Bhaskar,Drama,Promodome Motion Pictures
23,31-Mar,Naam Shabana,Shivam Nair,"Taapsee Pannu, Prithviraj Sukumaran , Akshay Kumar","Action,thriller",Plan C Studios and Cape Of Good Films
24,31-Mar,Poorna: Courage Has No Limit,Rahul Bose,"Aditi Inamdar, Rahul Bose , Heeba Shah",Adventure,PVR Pictures and Rahul Bose Productions
25,07-Apr,Laali Ki Shaadi Mein Laaddoo Deewana,Manish Harishankar,"Vivaan Shah, Akshara Haasan, Gurmeet Choudhary , Kavita Verma","Comedy,drama",Star Entertainment Worldwide
26,07-Apr,Mirza Juuliet,Rajesh Ram Singh,"Darshan Kumar, Pia Bajpai , Chandan Roy Sanyal","Comedy,drama","Green Apple Media, Falansha Media Private Limited and Shemaroo Entertainment"
27,07-Apr,Mukti Bhawan,Shubhashish Bhutiani,"Adil Hussain, Lalit Behl , Navnindra Behl",Drama,Red Carpet Moving Pictures
28,14-Apr,Saanjh,Ajay Saklani,"Aditi Charak, Vishal Parpagga , Rupeshwari Sharma",Drama,Silent Hills Studio
29,14-Apr,Begum Jaan,Srijit Mukherji,"Vidya Balan, Ila Arun, Gauhar Khan, Sumit Nijhawan , Chunky Pandey",Period drama,"Vishesh Films, Shree Venkatesh Films and Play Entertainments"
